sign,tokens,coverage,precision,decomposes,n_parts,parts
536,5,0.994,0.821,True,2,306@0.4 + 050m@0.4
179,1,0.994,0.690,False,3,670@1.0 + 430@0.4 + 306@0.65
468,1,0.994,0.684,False,3,254@1.0 + 755@0.5 + 400@0.65
587,1,0.993,0.631,False,2,008m@0.8 + 063@1.0
712,1,0.993,0.836,True,2,005m@1.0 + 063@0.65
463,1,0.993,0.789,True,2,306@1.0 + 430@0.65
565,0,0.993,0.878,True,1,070m@1.0
072,21,0.993,0.617,False,2,400@1.0 + 007m@1.0
220,13,0.992,0.940,True,2,200@1.0 + 071@0.5
518,1,0.992,0.625,False,2,008@1.0 + 200@1.0
180,1,0.992,0.697,False,3,306@0.8 + 044m@0.8 + 755@0.8
123,6,0.992,0.806,True,1,070@1.0
474,1,0.992,0.592,False,2,020m@1.0 + 607@1.0
167,3,0.992,0.640,False,2,022m@1.0 + 007m@1.0
652,1,0.992,0.924,True,2,607@1.0 + 066m@0.4
781,2,0.992,0.596,False,3,254m@0.8 + 600m@0.65 + 600m@0.65
585,1,0.992,0.750,True,2,381@1.0 + 059m@0.8
732,1,0.991,0.658,False,2,381@1.0 + 600@0.8
406,6,0.991,0.959,True,1,306@1.0
320,22,0.991,0.903,True,2,300@1.0 + 027m@0.4
190,5,0.991,0.688,False,3,430@0.8 + 607m@0.4 + 205m@0.5
694,1,0.991,0.517,False,2,290@1.0 + 020m@1.0
